ts_ns,x,y,z,qw,qx,qy,qz,tag_used,held
1768659053055719000,-0.2630683894320597,-0.046192277102269814,-0.07548236741956445,0.7678192345806232,-0.032874163760354125,0.6354685287615207,0.07451618158998581,1,0
1768659053135598000,-0.26311864136282254,-0.04597787760025664,-0.07539649471728037,0.767721610584434,-0.03241598741101202,0.6356202013102348,0.07442910780164315,1,0
1768659053216013000,-0.2630465338683722,-0.04586492134317627,-0.07562447695826986,0.7680416187586149,-0.03231647897643186,0.6352621762725051,0.07422724862699003,1,0
1768659053296201000,-0.2631439953556553,-0.04567958846982487,-0.07542794289123224,0.7677766778354815,-0.031867617626107146,0.6356050381837374,0.07422710659992919,1,0
1768659053375972000,-0.26302284816751387,-0.04586333870274795,-0.07544882176616714,0.7678284210354048,-0.03231387656760676,0.6355144287321386,0.07427476088628059,1,0
1768659053455841000,-0.262910883195008,-0.045997646065657066,-0.07583375470730165,0.7682954453372451,-0.03246510927664675,0.634910306465118,0.07454547671099424,1,0
1768659053535836000,-0.26267769997609275,-0.04618285964042636,-0.07628511226736949,0.7688726672919713,-0.032695640282291626,0.6341483487243623,0.07497791946983479,1,0
1768659053615862000,-0.263197125494584,-0.044846503958739695,-0.07568024521150903,0.7682326037712915,-0.03070791669624093,0.6352458328587443,0.0730645070506802,1,0
1768659053696152000,-0.2632557043627581,-0.04604607822091091,-0.07479333267565119,0.7669860190860648,-0.03266411983236045,0.6365187721031572,0.07422502652324818,1,0
1768659053776096000,-0.2631867314173896,-0.04567885410693846,-0.07527833855613462,0.7676374377647152,-0.03211533863683312,0.6358077631617619,0.07382314995651128,1,0
1768659053856207000,-0.2634028977976986,-0.04635134068162787,-0.07435648060545995,0.7663303461282275,-0.03297720520560062,0.6372309569087675,0.07474631828361344,1,0
1768659053935476000,-0.26313647117552863,-0.046022473247268124,-0.07521440801863026,0.7675016793255499,-0.032537372498603306,0.6358801526743978,0.07442394143105227,1,0
1768659054016050000,-0.262981780850683,-0.04549251064100221,-0.07605229935764789,0.7686286662374873,-0.03170411592693229,0.63461803954266,0.07392405804813468,1,0
1768659054096398000,-0.263210433799724,-0.04544895540104608,-0.0753806052330197,0.7677836173093606,-0.031742269907385066,0.63567915906795,0.07357140761969891,1,0
1768659054175836000,-0.2633415590404935,-0.0459347984961626,-0.07473406312066506,0.7668643959114663,-0.03233506773967364,0.6366748461681014,0.07428715861060328,1,0
1768659054255933000,-0.26333771527235583,-0.04562845407813417,-0.07497655128202535,0.7672083510257633,-0.03185524713803453,0.6363241849254845,0.07394674451943055,1,0
1768659054335926000,-0.26329895179473506,-0.04614389252159852,-0.07475557497032237,0.76688659418128,-0.032730514320279326,0.6366097369414708,0.07444264858720678,1,0
1768659054416043000,-0.2632755938819385,-0.04513601141640931,-0.07541214065188336,0.7678286894848122,-0.031085378718833934,0.6356727192070148,0.07343702669568034,1,0
1768659054495956000,-0.2633596781856194,-0.04576477763647237,-0.07483747753390294,0.7670323173170085,-0.03214291579320352,0.6365185880635308,0.07397529455987524,1,0
1768659054575972000,-0.263245108380796,-0.04555938267359555,-0.07523587305476466,0.7675908499994459,-0.03196422086481747,0.6358961779487485,0.07361132013356968,1,0
1768659054655845000,-0.26311281644124423,-0.04540845098480625,-0.07573526693485162,0.7682430146943706,-0.03169097175537096,0.6351267869902122,0.07356845200216758,1,0
1768659054735688000,-0.26332378409429125,-0.04567653302677281,-0.07500535255491651,0.7672417035399838,-0.03201734416685187,0.6362821931924022,0.07389200665722803,1,0
1768659054816287000,-0.263276064670249,-0.04514262050956621,-0.0754851841538212,0.7678996734554103,-0.031076087979489336,0.6355829588212338,0.07347564711529354,1,0
1768659054896357000,-0.2631466979696258,-0.045626338346545586,-0.07545145729626487,0.7678470483833938,-0.03199538181204532,0.6355601828552163,0.07382722939847823,1,0
1768659054975761000,-0.263082127960409,-0.045971593760393954,-0.07534353096948446,0.7677183307154404,-0.03268728905706645,0.6356567687719156,0.07403092686198877,1,0
1768659055055827000,-0.26335460623182777,-0.044935361435686,-0.07524869718904316,0.767677291116459,-0.030989411987027714,0.635928459055086,0.07284386050050894,1,0
1768659055135749000,-0.2628953038746427,-0.04607433295645733,-0.07568511695517773,0.7681310813961664,-0.03268058093463549,0.6351022314280168,0.07451024800713509,1,0
1768659055216105000,-0.2633741233175166,-0.04584998606835278,-0.0745491848769741,0.766687124684639,-0.03238933831671961,0.636931687434889,0.07389052136472553,1,0
1768659055295745000,-0.2631332684116093,-0.04551578558377331,-0.07559870957406094,0.7680622602531436,-0.031862832113120056,0.6353280317502941,0.07364384819427185,1,0
1768659055376021000,-0.2631551239518875,-0.046019079968618794,-0.0753373820579127,0.767652794893283,-0.032628471618831624,0.635715939827288,0.07422811584472773,1,0
1768659055455708000,-0.2632194492207628,-0.0451598381661478,-0.07557575541169667,0.7680319218808582,-0.031187058985371496,0.6354274777644965,0.07339110862828443,1,0
1768659055535628000,-0.2631666463904905,-0.04628167088489605,-0.07498390929961153,0.7671673527094816,-0.03296927106183257,0.6362364064164341,0.07463588448380236,1,0
1768659055616043000,-0.2631019616528256,-0.04544433996130427,-0.07562131286061805,0.7680722172756465,-0.031591919213374384,0.6353055737962402,0.07385016989227508,1,0
1768659055696039000,-0.2631527951595338,-0.04578302306153866,-0.07517160246408296,0.7674732373758908,-0.03217251425113149,0.6359690241890665,0.07411585195177144,1,0
1768659055776105000,-0.2631540576681882,-0.04591887713253037,-0.07517144282141543,0.7674604167239429,-0.03240326641186424,0.6359594431425946,0.0742302079042941,1,0
1768659055855865000,-0.2632517292768096,-0.04514045136390462,-0.07540454343474083,0.7678242488008324,-0.031158850968569837,0.6356814816163862,0.07337644642357741,1,0
1768659055935645000,-0.26337043486498135,-0.045730211915124906,-0.07470561128389362,0.7668383761618067,-0.03192579645508748,0.6367400223505202,0.07417406759299904,1,0
1768659056016246000,-0.2632096300910947,-0.04657487957562872,-0.07456390325400018,0.7665946369438676,-0.033356646220662284,0.6368586106374969,0.07504070108072408,1,0
1768659056096523000,-0.2631599719429021,-0.045464460523618876,-0.07554241246277296,0.767980054561115,-0.03167976054882465,0.6354254845423932,0.07373928506529541,1,0
1768659056175903000,-0.26354540562030454,-0.0454839536833245,-0.07448912199136114,0.7666133565214919,-0.03179423666483783,0.6371047828182206,0.07342059539325838,1,0
1768659056256064000,-0.2636455055402115,-0.04482921254327108,-0.0747304437545676,0.7669174606043481,-0.030495910776429696,0.6368428575508911,0.07306697497850718,1,0
1768659056335833000,-0.2632832440878644,-0.045323374874241124,-0.07530148295604182,0.7676805954474368,-0.03153530532018777,0.6358305505886913,0.07342709874367392,1,0
1768659056416069000,-0.2631239570978701,-0.04512410214650856,-0.0758535881777801,0.7684131621916385,-0.031189816357449017,0.634972946179748,0.07333324720783968,1,0
1768659056496063000,-0.26318925285394335,-0.04558788544074876,-0.07538882886367061,0.7677350648816604,-0.03179578793041747,0.6356864199102075,0.07399103704355146,1,0
1768659056575742000,-0.26261752403380856,-0.046370701011400395,-0.07642951138197433,0.7690511267850171,-0.03319782895419825,0.6339115158884534,0.0749296908269781,1,0
1768659056656217000,-0.2631922912986268,-0.04565886329193923,-0.07525791615143317,0.7675994297492038,-0.032031111554905865,0.6358488778978569,0.07390079713569087,1,0
1768659056735791000,-0.2631617925896309,-0.04603801028344678,-0.07533508159501315,0.7676003366386802,-0.032406273068691996,0.6357411263834388,0.0746510340363661,1,0
1768659056815863000,-0.2633744344495294,-0.045790586506152225,-0.0748225597435421,0.7669809819152129,-0.03211252363761375,0.6365652273921469,0.07411929897930665,1,0
1768659056896177000,-0.26317881434133417,-0.04562542177820048,-0.07543678996197647,0.7678154705499982,-0.03196206020826338,0.6355906404816914,0.07390783194899954,1,0
1768659056976034000,-0.2634580123323769,-0.04455368383600063,-0.07528600018965298,0.7677360617062988,-0.0303562219300399,0.6359338092894196,0.07244328504757831,1,0
